"Libellé";"Indice des prix de production de la construction neuve à usage d'habitation - Base 2015";"Codes"
"2002-T4";"72.3";"A"
"2003-T1";"73.0";"A"
"2003-T2";"74.2";"A"
"2003-T3";"74.2";"A"
"2003-T4";"74.9";"A"
"2004-T1";"75.6";"A"
"2004-T2";"78.2";"A"
"2004-T3";"78.5";"A"
"2004-T4";"78.3";"A"
"2005-T1";"78.4";"A"
"2005-T2";"78.7";"A"
"2005-T3";"78.9";"A"
"2005-T4";"82.2";"A"
"2006-T1";"84.0";"A"
"2006-T2";"84.3";"A"
"2006-T3";"85.2";"A"
"2006-T4";"86.7";"A"
"2007-T1";"85.5";"A"
"2007-T2";"88.5";"A"
"2007-T3";"89.0";"A"
"2007-T4";"90.9";"A"
"2008-T1";"92.4";"A"
"2008-T2";"96.4";"A"
"2008-T3";"98.3";"A"
"2008-T4";"94.0";"A"
"2009-T1";"92.7";"A"
"2009-T2";"92.4";"A"
"2009-T3";"92.7";"A"
"2009-T4";"93.0";"A"
"2010-T1";"93.0";"A"
"2010-T2";"93.6";"A"
"2010-T3";"93.8";"A"
"2010-T4";"94.6";"A"
"2011-T1";"95.9";"A"
"2011-T2";"98.3";"A"
"2011-T3";"100.2";"A"
"2011-T4";"101.1";"A"
"2012-T1";"99.8";"A"
"2012-T2";"102.8";"A"
"2012-T3";"101.7";"A"
"2012-T4";"101.1";"A"
"2013-T1";"101.6";"A"
"2013-T2";"101.0";"A"
"2013-T3";"99.5";"A"
"2013-T4";"99.6";"A"
"2014-T1";"101.7";"A"
"2014-T2";"100.0";"A"
"2014-T3";"100.4";"A"
"2014-T4";"100.3";"A"
"2015-T1";"100.7";"A"
"2015-T2";"99.6";"A"
"2015-T3";"99.2";"A"
"2015-T4";"100.5";"A"
"2016-T1";"99.6";"A"
"2016-T2";"100.1";"A"
"2016-T3";"101.4";"A"
"2016-T4";"101.5";"A"
"2017-T1";"101.8";"A"
"2017-T2";"102.7";"A"
"2017-T3";"103.0";"A"
"2017-T4";"102.9";"A"
"2018-T1";"103.1";"A"
"2018-T2";"104.8";"A"
